,AUC_mean,AUC_std,F1_mean,F1_std,N,Pct_R,Class,Fullname
VAN,0.9928349786409283,0.0030571165417583018,0.9457629450280219,0.014605770081999767,2000,35.6,Glycopeptide,Vancomycin
CAZ,0.9840691440603878,0.003838683399821447,0.9284949012663188,0.01690151453863212,2000,60.2,Cephalosporin,Ceftazidime
PEN,0.959167671797933,0.004446557273122762,0.9103789478884042,0.008933783867342598,2000,60.0,Penicillin,Penicillin
CLI,0.9502185709978896,0.008803100948002933,0.8696691407878351,0.01679807963035043,2000,46.5,Macrolide,Clindamycin
GEN,0.9301015415567969,0.025963202226598828,0.7513202617346277,0.03614220335063776,2000,22.8,Aminoglycoside,Gentamicin
ERY,0.9157490299859115,0.01176465566143299,0.8052176339780163,0.02348366893134016,2000,54.2,Macrolide,Erythromycin
AZM,0.9157490299859115,0.01176465566143299,0.8052176339780163,0.02348366893134016,2000,54.2,Macrolide,Azithromycin
CXM,0.9082394659991657,0.00720494191408057,0.6805888856735504,0.02994287054796182,2000,23.5,Cephalosporin,Cefuroxime
AMC,0.8795086846244601,0.016864332137798865,0.6570933415822442,0.042245620731417514,2000,22.3,Penicillin,Amoxicillin-clav
SXT,0.8737319221191614,0.03841558481424633,0.6028975610779013,0.04381502146510541,2000,18.0,Sulfonamide,Trimethoprim-sulfa
CIP,0.8235196748327516,0.017193118251949087,0.44544749995978705,0.029676423596697594,2000,11.4,Fluoroquinolone,Ciprofloxacin
TMP,0.8118794813119756,0.02879970733615045,0.6063277832384306,0.02831125214408847,2000,28.6,Sulfonamide,Trimethoprim
